ep,node,batch,seq,tokens,prefill_ms,decode_tpot_ms,timed_step_total_ms,compute_ms_total,recv_wait_ms_total,ep_local_experts_ms_total,ep_reduce_wait_ms_total,ep_overlap_hidden_ms_total,compute_ms_per_layer_mb,recv_wait_ms_per_layer_mb,ep_local_experts_ms_per_layer_mb,ep_reduce_wait_ms_per_layer_mb,ep_overlap_hidden_ms_per_layer_mb,compute_ratio
4,attention,2,8,3,2438.067276030779,651.8045915290713,655.7864435017109,96.21505253016949,523.1157448142767,0.0,0.0,0.0,1.0022401305225987,5.449122341815382,0.0,0.0,0.0,0.14671705016713793
4,ffn_coordinator,2,8,3,2437.6877527683973,651.8112774938345,655.5497031658888,423.4998747706413,41.25137999653816,408.30673836171627,56.59101530909538,265.2599960565567,4.4114570288608475,0.4297018749639392,4.253195191267878,0.5894897428030769,2.763124958922466,0.6460225254094477
4,ffn_expert_r2,2,8,3,2437.421139329672,651.785277761519,655.2431788295507,593.1741651147604,0.0,593.1741651147604,29.151540249586105,268.7909323722124,6.1788975532787545,0.0,6.1788975532787545,0.30366187759985525,2.7999055455438793,0.9052733157395654
4,ffn_expert_r3,2,8,3,2437.3515993356705,651.8037719652057,655.2424803376198,565.570367500186,0.0,565.570367500186,55.20126782357693,279.824648052454,5.891357994793604,0.0,5.891357994793604,0.575013206495593,2.9148400838797293,0.8631466738981431
4,ffn_expert_r4,2,8,3,2437.368957325816,651.7962878569961,655.2317775785923,526.3727195560932,0.0,526.3727195560932,95.86668573319912,300.46930350363255,5.483049162042637,0.0,5.483049162042637,0.9986113097208241,3.129888578162839,0.803338204232558
4,attention,4,128,20,2515.368141233921,753.9250263454098,723.4485913068056,107.32977651059628,575.7310409098864,0.0,0.0,0.0,1.1180185053187113,5.997198342811316,0.0,0.0,0.0,0.14835853963959
4,ffn_coordinator,4,128,20,2513.812890276313,753.9253095655065,723.1446485966444,547.8304978460073,56.98792077600956,536.4369731396437,0.9814836084842682,282.1282483637333,5.70656768589591,0.5936241747500995,5.5878851368712885,0.010223787588377794,2.938835920455555,0.7575669665939494
4,ffn_expert_r2,4,128,20,2513.764940202236,753.9237843532311,722.6517535746098,686.7315787822008,0.0,686.7315787822008,0.9056180715560913,319.8378812521696,7.153453945647925,0.0,7.153453945647925,0.009433521578709284,3.331644596376767,0.9502939353364478
4,ffn_expert_r3,4,128,20,2513.6984791606665,753.9252106492456,719.0190255641937,686.4202041178942,0.0,686.4202041178942,0.8884593844413757,239.60532620549202,7.150210459561397,0.0,7.150210459561397,0.009254785254597664,2.495888814640542,0.9546620878067584
4,ffn_expert_r4,4,128,20,2513.7636195868254,753.9238432716382,722.1724800765514,683.9668937027454,0.0,683.9668937027454,0.9422879666090012,322.3505821079016,7.124655142736931,0.0,7.124655142736931,0.009815499652177095,3.3578185636239746,0.9470963136538294
4,attention,8,512,20,3255.3252521902323,464.0093051681393,397.087674587965,98.03624264895916,263.358062133193,0.0,0.0,0.0,1.021210860926658,2.7433131472207606,0.0,0.0,0.0,0.24688815322884478
4,ffn_coordinator,8,512,20,3246.791947633028,464.01010257633106,396.26014046370983,219.24683824181557,53.83666977286339,207.19282887876034,1.0336115956306458,124.36900660395622,2.283821231685579,0.560798643467327,2.1582586341537535,0.010766787454485893,1.2955104854578774,0.5532901643482221
4,ffn_expert_r2,8,512,20,3246.5626541525126,464.0082563028524,396.77676372230053,359.1442946344614,0.0,359.1442946344614,0.8865483105182648,149.67529475688934,3.7410864024423063,0.0,3.7410864024423063,0.009234878234565258,1.5591176537175973,0.9051545540752037
4,ffn_expert_r3,8,512,20,3246.55669182539,464.0086742216035,396.15732058882713,363.20358142256737,0.0,363.20358142256737,0.876283273100853,121.53000943362713,3.78337063981841,0.0,3.78337063981841,0.009127950761467218,1.2659375982669492,0.9168165336001387
4,ffn_expert_r4,8,512,20,3246.5791944414377,464.00886254483146,395.8874884992838,359.8089776933193,0.0,359.8089776933193,0.9030308574438095,140.5159216374159,3.7480101843054094,0.0,3.7480101843054094,0.009406571431706348,1.4637075170564156,0.9088667567072413
7,attention,8,512,20,3410.71685962379,380.6579129672364,336.59293688833714,114.19029720127583,184.27729606628418,0.0,0.0,0.0,1.18948226251329,1.919555167357127,0.0,0.0,0.0,0.3392533968683895
7,ffn_coordinator,8,512,20,3402.228593826294,380.6579623763499,336.29404939711094,158.16834196448326,77.12310366332531,146.13676257431507,1.0134503245353699,80.28640039265156,1.6475868954633672,0.8033656631596386,1.5222579434824486,0.010556774213910103,0.8363166707567871,0.47032750727536976
7,ffn_expert_r2,8,512,20,3402.0298440009356,380.65724761078235,333.53919349610806,302.30534449219704,0.0,302.30534449219704,0.8430127054452896,77.90170796215534,3.1490140051270523,0.0,3.1490140051270523,0.008781382348388433,0.8114761246057848,0.9063562855191845
7,ffn_expert_r3,8,512,20,3402.001501992345,380.6565054937413,334.0286072343588,301.32550187408924,0.0,301.32550187408924,0.8573345839977264,84.10689048469067,3.1388073111884296,0.0,3.1388073111884296,0.00893056858330965,0.8761134425488611,0.9020948965088951
7,ffn_expert_r4,8,512,20,3401.994302868843,380.6561528656043,333.8212762027979,300.4901874810457,0.0,300.4901874810457,0.8888468146324158,80.80369234085083,3.130106119594226,0.0,3.130106119594226,0.009258820985754332,0.8417051285505295,0.9001528928866014
7,ffn_expert_r5,8,512,20,3402.0278323441744,380.65611767141445,334.20432917773724,300.71126483380795,0.0,300.71126483380795,0.9131040424108505,82.41638354957104,3.1324090086854994,0.0,3.1324090086854994,0.009511500441779694,0.8585039953080317,0.8997826735927261
7,ffn_expert_r6,8,512,20,3402.0214043557644,380.6563729518338,332.4945271015167,299.79096353054047,0.0,299.79096353054047,0.8558984845876694,85.6455322355032,3.122822536776463,0.0,3.122822536776463,0.00891560921445489,0.8921409607864916,0.9016417988708991
7,ffn_expert_r7,8,512,20,3402.060551568866,380.6570270343831,333.64188484847546,298.7275831401348,0.0,298.7275831401348,0.8830353617668152,79.89447005093098,3.1117456577097378,0.0,3.1117456577097378,0.009198285018404325,0.832234063030531,0.8953539609566794
7,attention,16,512,20,3673.9433519542217,463.440116494894,368.7116000801325,97.1509013324976,239.2154559493065,0.0,0.0,0.0,1.01198855554685,2.4918276661386094,0.0,0.0,0.0,0.26348750978104213
7,ffn_coordinator,16,512,20,3656.5128583461046,463.4397237708694,368.4364538639784,200.7717676460743,53.205810487270355,189.32127952575684,0.958787277340889,101.86047852039337,2.0913725796466074,0.5542271925757328,1.9720966617266338,0.009987367472300926,1.0610466512540977,0.544929160891871
7,ffn_expert_r2,16,512,20,3656.1738569289446,463.4394871169015,365.3168212622404,332.68015645444393,0.0,332.68015645444393,0.8646547794342041,85.23776941001415,3.4654182964004576,0.0,3.4654182964004576,0.009006820619106293,0.8878934313543141,0.9106620256493241
7,ffn_expert_r3,16,512,20,3655.997935682535,463.4377812280467,365.7093718647957,333.0728840082884,0.0,333.0728840082884,0.879630446434021,87.99394592642784,3.469509208419671,0.0,3.469509208419671,0.009162817150354385,0.91660360340029,0.91075840443987
7,ffn_expert_r4,16,512,20,3656.007744371891,463.43710391145004,365.7557461410761,333.26612785458565,0.0,333.26612785458565,0.8416473865509033,90.66236764192581,3.4715221651519337,0.0,3.4715221651519337,0.008767160276571909,0.9443996629367272,0.9111712703647892
7,ffn_expert_r5,16,512,20,3656.0187432914972,463.4380111176717,366.2596680223942,332.33627676963806,0.0,332.33627676963806,0.9471848607063293,92.71430224180222,3.4618362163503966,0.0,3.4618362163503966,0.009866508965690931,0.9657739816854397,0.9073788510869235
7,ffn_expert_r6,16,512,20,3656.099835410714,463.4383733531362,363.7756686657667,331.5229304134846,0.0,331.5229304134846,0.813191756606102,100.93907453119755,3.453363858473798,0.0,3.453363858473798,0.008470747464646896,1.0514486930333078,0.9113389348700074
7,ffn_expert_r7,16,512,20,3656.142596155405,463.43880597698063,365.5157443135977,333.9053299278021,0.0,333.9053299278021,0.8309036493301392,83.64018425345421,3.478180520081272,0.0,3.478180520081272,0.00865524634718895,0.8712519193068147,0.9135183234168016
